Unnamed: 0,time,pos_x,pos_y,pos_z,pos_sp,cmd_pos_x,cmd_pos_y,cmd_pos_z,cmd_pos_sp,cmd_v_x,cmd_v_y,cmd_v_z,cmd_v_sp,cont_dev_x,cont_dev_y,cont_dev_z,cont_dev_sp,v_x,a_x,v_y,a_y,v_z,a_z,v_sp,a_sp,time_diff,f_x,f_y,f_z,a_p,curr_x,curr_y,curr_z,curr_sp,f_x_sim,f_y_sim,f_z_sim,f_sp_sim,materialremoved_sim
11,0.22,-23.324113036448622,241.22955661810445,603.5746907131286,230.7671034569904,-23.324119000000003,241.22955300000007,603.5746909999998,230.01148400000008,-6.103039109036467e-05,6.974563993477659e-05,-5.740462050819486e-05,0.0,-5.55071477722191e-06,-3.050481771976146e-06,5.123795758314608e-07,0.0,0.00143428925789,-0.4881444546721283,0.0010045153378692,-0.1250243616329909,-0.0009313959217459,-0.3612121765072557,0.0003128579201073,-17.22158525337061,0.002,0.0100113987766456,0.0101690606003687,-0.0003173971918746,0.0,0.2920536038743752,-5.498050481159789,0.498017201956176,0.0,0.0,0.0,0.0,0.0,0.0
12,0.24,-23.324114675247785,241.22955654855795,603.5746944346512,230.7668149698307,-23.324119000000003,241.22955300000007,603.5746909999998,230.01148400000008,0.000126504445499,7.697895035281295e-05,-0.0001163883350949,0.0,-3.511156806013481e-06,-2.96613285920777e-06,-3.424323646218439e-06,0.0,0.0020008108711879,-0.0008970165393107,-0.0004487443688119,0.112819082131612,0.0004903007119928,-0.3490152154313716,0.0352528144103686,0.0006057524676947,0.002,0.0100076775484403,0.0097723697943657,-0.000694955192624,0.0,0.2920267669842045,-5.498015883067341,0.4990776766570504,0.0,0.0,0.0,0.0,0.0,0.0
13,0.2600000000000001,-23.32411882788365,241.22955639613528,603.5746891159612,230.7669389364055,-23.324119000000003,241.22955300000007,603.5746909999998,230.01148400000008,6.469309427619236e-05,-4.575966969827466e-05,-5.361544105938881e-05,0.0,3.571075150195857e-08,-3.194528877941907e-06,2.2745894396959563e-06,0.0,0.0010123271023272,0.1248680633752938,-0.0009564598758285,0.2504270696112001,-0.0004625686175456,-0.1256638919053424,-0.0341258662044316,-8.526121618114189,0.002,0.0101187675926799,0.0102312073896922,-0.00041393669037,0.0,0.2930137370912148,-5.496954786008122,0.498150505112022,0.0,0.0,0.0,0.0,0.0,0.0
14,0.2800000000000001,-23.32411904140171,241.2295603856584,603.5746932109917,230.76667254998588,-23.324119000000003,241.22955300000007,603.5746909999998,230.01148400000008,0.0001411387989497,-0.0002442560543111,-0.0001889228867025,0.0,4.536747632393052e-07,-7.374564858313354e-06,-1.8173524212649767e-06,0.0,6.411277997026048e-06,0.1256681958944185,-0.0004606175177893,-0.2251416983971704,0.0009527190290406,-0.2629730703801196,-0.0353792569051167,17.224485233505625,0.002,0.0099978585231568,0.0097468462254996,-0.0009532024016744,0.0,0.2910916111520963,-5.497895050226781,0.5000863873136647,0.0,0.0,0.0,0.0,0.0,0.0
15,0.3000000000000001,-23.32412303994733,241.2295547123083,603.5746927303368,230.7666979009773,-23.324119000000003,241.22955300000007,603.5746909999998,230.01148400000008,0.0002129034992588,-5.5221079187710126e-05,-5.682372707812263e-05,0.0,4.264123389909799e-06,-1.7076029873383525e-06,-1.7310009452344256e-06,0.0,-5.850993182179104e-06,0.2379544428211133,-4.935487616379437e-05,0.1241146259869262,2.6303831663248773e-06,-0.4747029084258026,-0.001213678167777,-8.623712205273886,0.002,0.0100756779440178,0.0103085419405474,-0.0006484982648867,0.0,0.2900797930952187,-5.498023797442788,0.5010228601016962,0.0,0.0,0.0,0.0,0.0,0.0
16,0.32,-23.32412087768365,241.22955654641788,603.5746873362798,230.766985106917,-23.324119000000003,241.22955300000007,603.5746909999998,230.01148400000008,0.0001389600392259,-5.744333134999937e-05,-5.441209693592664e-05,0.0,2.0998379759204538e-06,-3.364822646621811e-06,4.254079462820017e-06,0.0,-0.0005088220976088,0.3749889440887895,-0.001487089963825,0.0123998607445316,0.0009487185311237,-0.0125892174290421,0.000140503867773,-0.0817316715480039,0.002,0.0101393372229863,0.0100070438181834,-0.001004681191048,0.0,0.2919199598212844,-5.497228925386305,0.4980417880033529,0.0,0.0,0.0,0.0,0.0,0.0
17,0.3400000000000001,-23.32411873145137,241.22955254872903,603.5746835013344,230.7666941250286,-23.324119000000003,241.22955300000007,603.5746909999998,230.01148400000008,6.213261290408799e-05,0.0001386557196709,1.162125733191199e-05,0.0,-5.8399653149965945e-08,8.152525169559146e-07,8.29327810298746e-06,0.0,-0.0004554679022417,0.3622593783270321,-4.638390442495439e-05,0.725874146026304,0.0009553819380212,-0.012750069372076,-0.033130393829477,-8.596375762018706,0.002,0.0099730590323916,0.0102586740303058,-0.0006966546545299,0.0,0.2908649313563846,-5.496232237871421,0.5009212810134454,0.0,0.0,0.0,0.0,0.0,0.0
18,0.36,-23.3241206890589,241.2295564301517,603.5746852079147,230.76694921623945,-23.324119000000003,241.22955300000007,603.5746909999998,230.01148400000008,0.0001277604270377,-5.747627221265517e-05,7.34952404942381e-06,0.0,1.89717259509912e-06,-3.260243151269716e-06,6.41109763560732e-06,0.0,-0.0019986615458106,-0.1254252521517565,-0.0009601527073805,0.01289398429716,-0.0004494956708323,0.2382340608342238,0.0004571342085776,-17.101102682101384,0.002,0.0101127303653781,0.0102111260499343,-0.000618882567215,0.0,0.2898917023364579,-5.495064031655303,0.4989433606515724,0.0,0.0,0.0,0.0,0.0,0.0
19,0.3800000000000001,-23.3241168112559,241.2295568712987,603.5746927473701,230.76695487889623,-23.324119000000003,241.22955300000007,603.5746909999998,230.01148400000008,6.46788164039219e-05,-1.0270046342657635e-06,-6.632123257259109e-05,0.0,-1.778928292725664e-06,-3.487317002639206e-06,-1.718928193804655e-06,0.0,-0.0009393254427265,-0.0129821226757274,-0.0009624222532142,-0.0125619425246473,-0.0005127959966628,-0.4622617313865161,-0.0352605833200784,8.629137257632037,0.002,0.0099475273465456,0.0098701895845011,-0.0005479034872172,0.0,0.290887015039387,-5.49403190664935,0.4999202953443872,0.0,0.0,0.0,0.0,0.0,0.0
20,0.4000000000000002,-23.32411309976872,241.22955107447208,603.574687372586,230.7668386111564,-23.324119000000003,241.22955300000007,603.5746909999998,230.01148400000008,6.927220446156768e-05,0.0001315050924679,-4.953576972003665e-06,0.0,-5.105862570450844e-06,2.1206767346377967e-06,4.047444807000521e-06,0.0,-0.0004832441716053,-0.5000992130203079,-7.1826306866825885e-06,0.3747127033195271,-0.000506449708501,0.2368769718992999,-0.0352810155961619,-0.0339287043600478,0.002,0.0098496805925238,0.0100437477320944,-0.0005505307303595,0.0,0.2899309764245373,-5.496156637754366,0.4989482504417874,0.0,0.0,0.0,0.0,0.0,0.0
21,0.4200000000000001,-23.3241173968504,241.2295551581456,603.5746951909895,230.76671098359952,-23.324119000000003,241.22955300000007,603.5746909999998,230.01148400000008,3.6918549498052295e-06,-2.8110060810722085e-06,-0.0002017190618376,0.0,-1.4319851650439298e-06,-1.950785518532141e-06,-3.97472713103781e-06,0.0,0.0005104026728122,-0.2494269119550192,-1.5247376851613634e-06,0.3748461938250386,-0.0009481540236275,-0.4874697645613585,0.0342988833446689,8.552032713293515,0.002,0.0099623537575117,0.0099487339281823,-0.0005689071965635,0.0,0.2909841521701329,-5.49433732673684,0.4979886486697948,0.0,0.0,0.0,0.0,0.0,0.0
22,0.4400000000000002,-23.32411746510697,241.22955515030608,603.5746874233004,230.76698175621792,-23.324119000000003,241.22955300000007,603.5746909999998,230.01148400000008,7.371381577122949e-05,6.871287191597744e-05,-3.977334863225886e-06,0.0,-1.1638767919242277e-06,-1.7326408492419384e-06,3.987868061823783e-06,0.0,0.0014968551587945,-0.2494633322475107,-0.0009975795773285,-0.1253308570487465,-0.0004570821531176,0.0005121112654658,0.000380574689245,-8.601404798444928,0.002,0.0098456127463489,0.0099653432566484,-0.000484197752435,0.0,0.2900873564983649,-5.496205034001206,0.4990046420130879,0.0,0.0,0.0,0.0,0.0,0.0
23,0.4600000000000001,-23.324113514442736,241.22955905144084,603.5746896094937,230.76710812308585,-23.324119000000003,241.22955300000007,603.5746909999998,230.01148400000008,-0.0001201333180009,4.785879728528933e-06,-7.289511983336396e-05,0.0,-5.294784148779115e-06,-5.432157480831169e-06,1.7893399511806748e-06,0.0,0.001939603987676,-0.2372746065631283,0.0005071589645145,-0.2501472755016173,-0.0004577764127383,-0.2380879276703494,0.0351205111340271,-17.198493358861715,0.002,0.0101750484066222,0.0100506692864979,-0.0006699523412321,0.0,0.2890928519618552,-5.497009273863768,0.4990470458307013,0.0,0.0,0.0,0.0,0.0,0.0
24,0.4800000000000001,-23.3241190652872,241.2295529217141,603.574689397107,230.7666782205918,-23.324119000000003,241.22955300000007,603.5746909999998,230.01148400000008,0.0001387646236473,7.508536517725759e-05,-6.257608327772622e-06,0.0,4.682052581523212e-07,2.920605606880202e-07,1.8014437501677309e-06,0.0,0.0014865227708941,0.3750070977311216,0.0005042460329153,-0.2496575690830111,9.65106049158216e-06,-0.000754030243286,-0.0335338713283195,0.0313923449481308,0.002,0.0099196980201149,0.009774835255811,-0.0008329895303488,0.0,0.2889977822369698,-5.49693519367301,0.5000527222837583,0.0,0.0,0.0,0.0,0.0,0.0
25,0.5000000000000001,-23.32412484615768,241.2295567193965,603.5746971311128,230.7669483762852,-23.324119000000003,241.22955300000007,603.5746909999998,230.01148400000008,0.0001980444716699,-5.520570129212135e-05,-0.0002645738521506,0.0,5.845658984227683e-06,-3.513775006527878e-06,-5.916354269110583e-06,0.0,0.000994132240282,0.4993617101986024,-5.379677321050349e-05,-0.1121835838857108,0.0004623959820484,-0.3620038415823988,-0.0005470811083123,-8.499423090502864,0.002,0.0101755187339599,0.0099935648608496,-0.0010095443445974,0.0,0.2889342343889639,-5.497946867345525,0.4990787666115534,0.0,0.0,0.0,0.0,0.0,0.0
26,0.5200000000000002,-23.324120865027066,241.22955704137303,603.5746854324634,230.76711157768565,-23.324119000000003,241.22955300000007,603.5746909999998,230.01148400000008,0.00012844990423,6.496439444426963e-05,-2.822615152661113e-06,0.0,2.057395446130899e-06,-3.4456045342816387e-06,6.195511485938802e-06,0.0,0.0010065802106676,0.2497025610208452,0.0009927372598284,-0.6250335089647987,0.0008971348172029,0.0006724791642576,-0.0017399506423504,-8.580463971217707,0.002,0.0101082549026874,0.0098862955444622,-0.0011078458347251,0.0,0.2889521807697051,-5.498008459283526,0.4980843599097379,0.0,0.0,0.0,0.0,0.0,0.0
27,0.5400000000000003,-23.3241229894572,241.2295531779129,603.5746873548171,230.7667269912622,-23.324119000000003,241.22955300000007,603.5746909999998,230.01148400000008,0.0001340812449628,5.8571302447903824e-05,-7.364986958214181e-06,0.0,3.986325255843457e-06,1.2513964341959452e-08,4.074624473235847e-06,0.0,-0.000497083915483,0.1255179167653913,-0.0004556470657158,0.6124104451627795,0.001394228065229,0.2372021251682365,-0.0006288602184181,-0.1025623383583949,0.002,0.0099341786587798,0.0099565141919023,-0.0011275296979451,0.0,0.2880174211785511,-5.498061815447163,0.4980558499009039,0.0,0.0,0.0,0.0,0.0,0.0
28,0.5600000000000003,-23.324120952869087,241.2295512669697,603.5746876003907,230.76644412775872,-23.324119000000003,241.22955300000007,603.5746909999998,230.01148400000008,0.0001389410840506,0.0001251494729119,-7.384273703141863e-05,0.0,2.167881431956865e-06,1.9287805176019952e-06,4.024997767552635e-06,0.0,-0.001005187157186,0.3626100350442481,-0.0005041362601822,0.2501068342717449,0.0019009976952208,-0.1251910736656404,-0.0330864530107745,17.119989409836073,0.002,0.0100990820648339,0.0101411506352761,-0.0011025652240634,0.0,0.289028502169353,-5.497109085428551,0.4980014940031957,0.0,0.0,0.0,0.0,0.0,0.0
29,0.5800000000000002,-23.32411689545908,241.2295533778816,603.5746871828926,230.7669649854728,-23.324119000000003,241.22955300000007,603.5746909999998,230.01148400000008,4.138162299504916e-06,5.795859646050995e-05,0.0001254080915946,0.0,-1.8816752967595589e-06,-1.6916206584033118e-07,3.831773788149996e-06,0.0,0.0005019107488443,-0.0006622681256445,-7.02328278357191e-06,0.0001165818792717,0.0004496307435807,0.125192813128155,-0.0674730219894203,-17.124993194066295,0.002,0.0097727502278893,0.0098012216504236,-0.0012054053794153,0.0,0.2881066038363443,-5.49709391747618,0.4969644899909993,0.0,0.0,0.0,0.0,0.0,0.0
30,0.6000000000000002,-23.324121055033427,241.2295572897657,603.5746800168488,230.76681534429912,-23.324119000000003,241.22955300000007,603.5746909999998,230.01148400000008,6.949139159618624e-05,-7.11619397696439e-05,0.0001297494981206,0.0,2.054474069636729e-06,-4.074357677403298e-06,1.1779612742396492e-05,0.0,-0.0004877630637369,0.124794787055121,-0.0005016602000649,-0.2506162661226817,-1.908434530854472e-06,0.3374247349590763,-0.0343493583616248,-8.53702158242574,0.002,0.0101244885353509,0.010162912215477,-0.0009286758874145,0.0,0.2871688217685092,-5.498059641184527,0.4979381521127183,0.0,0.0,0.0,0.0,0.0,0.0
31,0.6200000000000003,-23.32411727541353,241.22955339020035,603.5746892263305,230.76682128472643,-23.324119000000003,241.22955300000007,603.5746909999998,230.01148400000008,6.671834678709399e-05,5.7138392115719344e-05,6.693079992801625e-05,0.0,-1.3553184718313132e-06,-1.8271499643080066e-07,1.7577726532224304e-06,0.0,-0.0014932487275861,0.1255949995019977,-3.919488972392044e-05,0.2371240475532588,7.746904279487543e-07,0.1249816220986361,-0.0690964015218083,-0.0078142353655138,0.002,0.0098002587223672,0.0101409793553454,-0.0007636473421492,0.0,0.287125100073946,-5.497075550693836,0.4979936221055454,0.0,0.0,0.0,0.0,0.0,0.0
32,0.6400000000000002,-23.324115306793768,241.22956313985333,603.5746856458251,230.76682562616173,-23.324119000000003,241.22955300000007,603.5746909999998,230.01148400000008,3.0830080134047673e-08,-3.835973905892487e-06,2.162926855722878e-06,0.0,-3.3236473836603883e-06,-9.137208972003144e-06,5.942064920515856e-06,0.0,-0.0010022754977303,0.0002079125277084,0.0005116928671519,-0.3747879125002925,-0.0004544335090598,0.3504370583388126,-2.45360525638616e-06,-0.0205543196696353,0.002,0.0098142443419875,0.0102229113023408,-0.0006036831199473,0.0,0.2870387313351312,-5.498019389490454,0.4980302772799376,0.0,0.0,0.0,0.0,0.0,0.0
33,0.6600000000000004,-23.324117259857,241.2295607876856,603.5746911851718,230.76709783907708,-23.324119000000003,241.22955300000007,603.5746909999998,230.01148400000008,7.213383993912834e-05,-5.448373902509232e-05,-4.751005640908095e-06,0.0,-1.353198776417322e-06,-7.1731149610016334e-06,-1.8962722129140786e-07,0.0,-0.0010013456895733,0.1123740555857479,5.282775304338372e-05,-0.2370744472693378,-0.0005066613050124,0.2496043915210795,0.0001793924124479,0.0030673632465098,0.002,0.0099450388567292,0.010046722311795,-0.0006888204875011,0.0,0.2869929138056452,-5.497013208033576,0.4970291467691982,0.0,0.0,0.0,0.0,0.0,0.0
34,0.68,-23.32411124907414,241.22955502198616,603.5746917570161,230.7669586112833,-23.324119000000003,241.22955300000007,603.5746909999998,230.01148400000008,5.349525721512353e-06,9.325876903391629e-06,-0.0002017420590094,0.0,-6.959993470465533e-06,-1.791989026498043e-06,-1.5979539896102788e-07,0.0,0.0004991782038532,-0.2498711907623483,-0.0010053692137157,-0.2497970855417557,-0.0009382151320519,-0.0136062460290967,-1.4800347948399142e-05,0.0090292113762823,0.002,0.00983183018207,0.0100108174166892,-0.0008773125672612,0.0,0.2860023751744883,-5.497015411387979,0.4979526339399906,0.0,0.0,0.0,0.0,0.0,0.0
35,0.7000000000000003,-23.32411719802517,241.22955893882263,603.5746927749536,230.7670973615173,-23.324119000000003,241.22955300000007,603.5746909999998,230.01148400000008,3.1552604453622164e-06,-5.502277511918197e-05,-5.791783873199824e-05,0.0,-1.612391713774568e-06,-5.510570172772451e-06,-1.7775932500516995e-06,0.0,0.0009955465966436,0.1252478914152353,0.0014455112896619,-0.0002081449139164,2.0610270611479057e-05,-0.1120130545493928,-5.928933155887444e-05,-0.0052301135648926,0.002,0.0100780728262636,0.010257021569346,-0.0007699205588925,0.0,0.2869770614843935,-5.498009248799126,0.4969500072831339,0.0,0.0,0.0,0.0,0.0,0.0
36,0.7200000000000002,-23.32410925527921,241.2295531831293,603.574692977995,230.7672340416475,-23.324119000000003,241.22955300000007,603.5746909999998,230.01148400000008,-0.0001253784050574,6.407249331669106e-05,-0.0001811691660033,0.0,-9.1435404932126e-06,2.4121214823117472e-08,-1.5853228338747805e-06,0.0,0.0009400794676475,-0.4872378381008833,0.0009497263264399,0.2374618541361042,-0.0014049399047153,-0.2359276751248894,0.0001588541745896,-8.600391200769307,0.002,0.0099990750876622,0.0098327613559731,-0.0010846354077085,0.0,0.287010743170448,-5.497057962423475,0.4969814592757049,0.0,0.0,0.0,0.0,0.0,0.0
37,0.7400000000000002,-23.32411279537409,241.22955719751607,603.5746949113305,230.76709209049508,-23.324119000000003,241.22955300000007,603.5746909999998,230.01148400000008,-5.425389104791874e-07,-9.566974073562786e-06,-0.0001235721674012,0.0,-5.585672761089224e-06,-3.806453477500658e-06,-3.930849669445572e-06,0.0,-1.4943590592380718e-05,-0.3750357935694189,0.0019486814326532,0.2250926047386265,0.0004779122599828,-0.3627228696325591,0.0002291557224849,0.0068042538771311,0.002,0.0102000599412685,0.009998188901397,-0.0010544589572531,0.0,0.2880073785283519,-5.497095668656179,0.4980176559451411,0.0,0.0,0.0,0.0,0.0,0.0
38,0.7600000000000001,-23.324122533503825,241.2295512235584,603.5746895846496,230.7670901913225,-23.324119000000003,241.22955300000007,603.5746909999998,230.01148400000008,0.0001299988461424,0.0001956549883963,-6.633469534838706e-05,0.0,3.5636306447073414e-06,2.1754975645603066e-06,1.7955542509459923e-06,0.0,0.0004912062401616,-0.125623237278662,0.0009999249654192,0.7498584937155193,-0.0004507084062677,-0.2390276400935494,-8.21454940041016e-05,0.0189537148500955,0.002,0.0102366702205946,0.010116818368457,-0.0012838231274502,0.0,0.2869872876351261,-5.498088651796204,0.4980475031065119,0.0,0.0,0.0,0.0,0.0,0.0
39,0.7800000000000002,-23.32411851013732,241.22955517687484,603.5746837759832,230.7668196819597,-23.324119000000003,241.22955300000007,603.5746909999998,230.01148400000008,6.272601457768254e-05,6.830508782936566e-05,6.923550840944179e-07,0.0,-2.557027667314761e-07,-1.7578079702847916e-06,8.02471591247258e-06,0.0,-0.0004928358369446,-0.1257800053003601,-0.0004448712633724,-0.0127039890753671,0.0019157696641734,0.112672101445979,0.0340817382036389,17.1744938721412,0.002,0.0099693803468241,0.0102069413988469,-0.0011418516090909,0.0,0.2869738547401902,-5.498058570930536,0.4980453812542976,0.0,0.0,0.0,0.0,0.0,0.0
40,0.8000000000000004,-23.32412077799736,241.22956085125315,603.574683224421,230.7669611604962,-23.324119000000003,241.22955300000007,603.5746909999998,230.01148400000008,0.0001386380435396,-0.0001188259078416,0.0002604468501963,0.0,2.009513251306959e-06,-7.420130158056402e-06,7.78836531707515e-06,0.0,-0.0009833143665009,-0.0124908252067684,-0.0014441295891624,-0.3623312099363081,0.0014452782141405,0.1388876730754097,-0.0001072005933876,-0.0095607987995336,0.002,0.0102250950663422,0.0101526481646389,-0.0011825440231823,0.0,0.2880469969797403,-5.498011467259194,0.4980578640137694,0.0,0.0,0.0,0.0,0.0,0.0
41,0.8200000000000001,-23.324119050560466,241.229554997674,603.5746837373388,230.76682386196416,-23.324119000000003,241.22955300000007,603.5746909999998,230.01148400000008,7.852423705046175e-05,8.010512520649125e-05,0.0001253458780715,0.0,2.774614285926465e-07,-1.5614205555395489e-06,7.65991971550108e-06,0.0,-0.0009922387288186,0.2507730536615618,-0.0015014642236131,-0.2496765110754487,0.0009289564746208,0.1374320608365268,0.0344528354151654,17.165698435380605,0.002,0.0099896858638884,0.0101581739609664,-0.0007076687511555,0.0,0.2852387109544824,-5.497970515117122,0.4980853133741506,0.0,0.0,0.0,0.0,0.0,0.0
42,0.8400000000000002,-23.32412108193344,241.2295590343559,603.5746878350794,230.766818711967,-23.32411900000101,241.2295529999968,603.5746909999896,230.01148400000008,0.0001485285751619,1.0919767188321258e-05,-9.568808082043126e-06,0.0,2.312053875895488e-06,-5.398425503337853e-06,3.547987927299368e-06,0.0,-2.607622756259538e-06,0.5002038593227401,-0.0004987363663896,0.1117839514679241,-0.0004543448465142,-0.2387415612893134,0.0004421576355648,8.568782665569676,0.002,0.0099483490246053,0.0101002009287908,-0.0010535705564882,0.0,0.2852705106056228,-5.49793523516823,0.4980854288353165,0.0,0.0,0.0,0.0,0.0,0.0
